,rank,name,link,location,points,Total students,International students,Total faculty staff,International Students Ratio,Citations per Faculty,Employer Reputation,Employment Outcomes,Overall,International Research Network,International Faculty Ratio,Academic Reputation,Faculty Student Ratio
0,1,Massachusetts Institute of Technology (MIT),https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,"Cambridge, United States",100,11035.0,3627.0,2919,90,100,100,100,100,96.1,100,100,100
1,2,University of Cambridge,https://www.topuniversities.com/universities/university-cambridge,"Cambridge, United Kingdom",98.8,20871.0,7865.0,5735,96.3,92.3,100,100,98.8,99.5,100,100,100
2,3,Stanford University,https://www.topuniversities.com/universities/stanford-university,"Stanford, United States",98.5,14518.0,3318.0,4694,60.3,99.9,100,100,98.5,96.3,99.8,100,100
3,4,University of Oxford,https://www.topuniversities.com/universities/university-oxford,"Oxford, United Kingdom",98.4,21972.0,9024.0,6650,98.4,90,100,100,98.4,99.9,98.8,100,100
4,5,Harvard University,https://www.topuniversities.com/universities/harvard-university,"Cambridge, United States",97.6,21877.0,5379.0,4480,66.9,100,100,100,97.6,100,76.9,100,99.4
5,=6,California Institute of Technology (Caltech),https://www.topuniversities.com/universities/california-institute-technology-caltech,"Pasadena, United States",97,2240.0,683.0,969,85.1,100,87.1,98.8,97,73,99.8,96.5,100
6,=6,Imperial College London,https://www.topuniversities.com/universities/imperial-college-london,"London, United Kingdom",97,20191.0,12332.0,4099,100,86.5,99.7,88.8,97,98.1,100,98.3,99.5
7,8,UCL,https://www.topuniversities.com/universities/ucl,"London, United Kingdom",95,41194.0,25076.0,7251,100,77,98.6,90.3,95,100,99.2,99.4,97.6
8,9,ETH Zurich,https://www.topuniversities.com/universities/eth-zurich,"Zürich, Switzerland",93.6,20892.0,8420.0,2820,98,99.2,91.3,91.1,93.6,96.2,100,98.6,74.2
9,10,University of Chicago,https://www.topuniversities.com/universities/university-chicago,"Chicago, United States",93.2,16325.0,4442.0,2703,76,86.8,92.2,98.2,93.2,89.6,81.6,99.2,92.9
10,11,National University of Singapore (NUS),https://www.topuniversities.com/universities/national-university-singapore-nus,"Singapore, Singapore",92.7,30725.0,8129.0,4268,73.5,91.8,94.1,99.6,92.7,89.9,100,99.5,79.8
11,12,Peking University,https://www.topuniversities.com/universities/peking-university,"Beijing, China (Mainland)",91.3,31873.0,5436.0,5361,36.9,96.7,96.5,91.4,91.3,77.5,57.1,99.3,87.3
12,13,University of Pennsylvania,https://www.topuniversities.com/universities/university-pennsylvania,"Philadelphia, United States",90.6,22261.0,5426.0,5069,66.1,70.9,92.5,100,90.6,93.3,96.2,96.5,99.9
13,14,Tsinghua University,https://www.topuniversities.com/universities/tsinghua-university,"Beijing, China (Mainland)",90.1,36893.0,5162.0,6136,25.7,98.1,97.7,87.1,90.1,75.5,16.7,98.9,92.8
14,15,The University of Edinburgh,https://www.topuniversities.com/universities/university-edinburgh,"Edinburgh, United Kingdom",89.5,33861.0,15268.0,4865,99.5,70.1,97.2,54.3,89.5,98.7,98.9,98,81.1
15,=16,EPFL,https://www.topuniversities.com/universities/epfl,"Lausanne, Switzerland",89.2,10919.0,6837.0,1757,100,99.4,71.8,28,89.2,87.3,100,83.7,91.1
16,=16,Princeton University,https://www.topuniversities.com/universities/princeton-university,"Princeton, United States",89.2,7767.0,1813.0,1066,62.2,100,98.9,100,89.2,78.5,26,99.9,72.6
17,18,Yale University,https://www.topuniversities.com/universities/yale-university,"New Haven, United States",89,11283.0,3118.0,5527,77.3,51.5,100,100,89,92,89.2,99.9,100
